Identifier,Title,Description,Currency,Amount Applied For,Amount Awarded,Amount Disbursed,Award Date,URL,Planned Dates:Start Date,Planned Dates:End Date,Planned Dates:Duration (months),Actual Dates:Start Date,Actual Dates:End Date,Actual Dates:Duration (months),Recipient Org:Identifier,Recipient Org:Name,Recipient Org:Charity Number,Recipient Org:Company Number,Recipient Org:Postal Code,Recipient Org:Location:0:Geographic Code Type,Recipient Org:Location:0:Geographic Code,Recipient Org:Location:0:Name,Recipient Org:Location:1:Geographic Code Type,Recipient Org:Location:1:Geographic Code,Recipient Org:Location:1:Name,Recipient Org:Location:2:Geographic Code Type,Recipient Org:Location:2:Geographic Code,Recipient Org:Location:2:Name,Funding Org:Identifier,Funding Org:Name,Funding Org:Postal Code,Grant Programme:Code,Grant Programme:Title,Grant Programme:URL,Beneficiary Location:0:Name,Beneficiary Location:0:Country Code,Beneficiary Location:0:Geographic Code,Beneficiary Location:0:Geographic Code Type,Beneficiary Location:1:Name,Beneficiary Location:1:Country Code,Beneficiary Location:1:Geographic Code,Beneficiary Location:1:Geographic Code Type,Beneficiary Location:2:Name,Beneficiary Location:2:Country Code,Beneficiary Location:2:Geographic Code,Beneficiary Location:2:Geographic Code Type,Beneficiary Location:3:Name,Beneficiary Location:3:Country Code,Beneficiary Location:3:Geographic Code,Beneficiary Location:3:Geographic Code Type,Beneficiary Location:4:Name,Beneficiary Location:4:Country Code,Beneficiary Location:4:Geographic Code,Beneficiary Location:4:Geographic Code Type,Beneficiary Location:5:Name,Beneficiary Location:5:Country Code,Beneficiary Location:5:Geographic Code,Beneficiary Location:5:Geographic Code Type,Beneficiary Location:6:Name,Beneficiary Location:6:Country Code,Beneficiary Location:6:Geographic Code,Beneficiary Location:6:Geographic Code Type,Beneficiary Location:7:Name,Beneficiary Location:7:Country Code,Beneficiary Location:7:Geographic Code,Beneficiary Location:7:Geographic Code Type,From An Open Call?,The following fields are not in the 360 Giving Standard and are added by GrantNav.,Data Source,Publisher:Name,Recipient Region,Recipient District,Recipient District Geographic Code,Recipient Ward,Recipient Ward Geographic Code,Retrieved for use in GrantNav,License (see note),"Note, this file also contains OS data © Crown copyright and database right 2016, Royal Mail data © Royal Mail copyright and Database right 2016, National Statistics data © Crown copyright and database right 2015 & 2016, see http://grantnav.threesixtygiving.org/datasets/ for more information."
360G-cabinetoffice-GA-060109,Bus Service Operator Grants (outside London) 2016/17,Placeholder,GBP,,1281,,2016-04-01T00:00:00+00:00,,01/04/2016,31/03/2017,12,,,,360G-cabinetoffice-GB109590659,EURO LINERS,,,B45 9UA,,,,,,,,,,GB-GOR-D9,Department for Transport,,SCH-000000497,Bus Service Operator Grants (outside London) 2016/17,,England,,E92000001,CTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/738720/360_16_17_awards.xlsx,Cabinet Office,West Midlands,Birmingham District,E08000025,Longbridge Ward,E05001194,2019-07-03T10:11:48+00:00,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,
360G-cabinetoffice-GA-060473,English Community Transport 2016/17,Placeholder,GBP,,104,,2016-04-01T00:00:00+00:00,,01/04/2016,31/03/2017,12,,,,360G-cabinetoffice-GGIS_ID_3,APOLLO SWIMMING CLUB FOR THE PHYSICALLY DISABLED,,,B44 9HW,,,,,,,,,,GB-GOR-D9,Department for Transport,,SCH-000000499,English Community Transport 2016/17,,England,,E92000001,CTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/738720/360_16_17_awards.xlsx,Cabinet Office,West Midlands,Birmingham District,E08000025,Oscott Ward,E05001199,2019-07-03T10:11:48+00:00,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,
360G-cabinetoffice-GA-043229,LSTF Grants to LA (Revenue) 2016/17,Placeholder,GBP,,2480000,,2016-04-01T00:00:00+00:00,,01/04/2016,31/03/2017,12,,,,360G-cabinetoffice-GGIS_ID_22,BIRMINGHAM CITY COUNCIL,,,B2 2XY,,,,,,,,,,GB-GOR-D9,Department for Transport,,SCH-000000484,LSTF Grants to LA (Revenue) 2016/17,,England,,E92000001,CTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/738720/360_16_17_awards.xlsx,Cabinet Office,West Midlands,Birmingham District,E08000025,Aston Ward,E05001179,2019-07-03T10:11:48+00:00,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,
360G-cabinetoffice-GA-042645,EV Readiness Project,Placeholder,GBP,,4258,,2016-04-01T00:00:00+00:00,,01/04/2016,31/03/2017,12,,,,360G-cabinetoffice-GGIS_ID_22,BIRMINGHAM CITY COUNCIL,,,B2 2XY,,,,,,,,,,GB-GOR-D9,Department for Transport,,SCH-000003262,EV Readiness Project 16/17,,UK Wide,,K02000001,CTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/738720/360_16_17_awards.xlsx,Cabinet Office,West Midlands,Birmingham District,E08000025,Aston Ward,E05001179,2019-07-03T10:11:48+00:00,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,
360G-cabinetoffice-GA-027979,Transport Technology Research Innovation Grant October 2015 (2016/17),Placeholder,GBP,,24683,,2016-04-01T00:00:00+00:00,,01/04/2016,31/03/2017,12,,,,360G-cabinetoffice-231625729,RE-Motive,,,B15 2SQ,,,,,,,,,,GB-GOR-D9,Department for Transport,,SCH-000000482,T-TRIG Grants October 2015 (2016/17),,England; Scotland; Wales,,K02000001,CTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/738720/360_16_17_awards.xlsx,Cabinet Office,West Midlands,Birmingham District,E08000025,Edgbaston Ward,E05001185,2019-07-03T10:11:48+00:00,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,
360G-cabinetoffice-GA-033472,Highways Maintenance Block 2016/17,Support for local highways maintenance.,GBP,,14938000,,2016-04-01T00:00:00+00:00,,01/04/2016,31/03/2017,12,,,,360G-cabinetoffice-GGIS_ID_473,West Midlands Integrated Transport Authority,,,B19 3SD,,,,,,,,,,GB-GOR-D9,Department for Transport,,SCH-000000476,Highways Maintenance Block 2016/17,,England,,E92000001,CTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/738720/360_16_17_awards.xlsx,Cabinet Office,West Midlands,Birmingham District,E08000025,Aston Ward,E05001179,2019-07-03T10:11:48+00:00,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,
360G-cabinetoffice-GA-073021,Private Finance Initiative 2016/17,Highways Maintenance,GBP,,50311300,,2016-04-01T00:00:00+00:00,,01/04/2016,31/03/2017,12,,,,360G-cabinetoffice-GGIS_ID_22,BIRMINGHAM CITY COUNCIL,,,B1 1BB,,,,,,,,,,GB-GOR-D9,Department for Transport,,SCH-000000477,PFI Grant to LA 2016/17,,England,,E92000001,CTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/738720/360_16_17_awards.xlsx,Cabinet Office,West Midlands,Birmingham District,E08000025,Ladywood Ward,E05001193,2019-07-03T10:11:48+00:00,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,
360G-cabinetoffice-GA-042903,Low Emission Bus Scheme 2016/17,Placeholder,GBP,,3074620,,2016-04-01T00:00:00+00:00,,01/04/2016,31/03/2017,12,,,,GB-COH-02652253,West Midlands Travel Limited,,2652253,B9 4BZ,,,,,,,,,,GB-GOR-D9,Department for Transport,,SCH-000003280,Low Emission Bus Scheme 2016/17,,UK Wide,,K02000001,CTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/738720/360_16_17_awards.xlsx,Cabinet Office,West Midlands,Birmingham District,E08000025,Nechells Ward,E05001197,2019-07-03T10:11:48+00:00,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,
360G-cabinetoffice-GA-060261,Bus Service Operator Grants (outside London) 2016/17,Placeholder,GBP,,643331,,2016-04-01T00:00:00+00:00,,01/04/2016,31/03/2017,12,,,,360G-cabinetoffice-GB487038714,NATIONAL EXPRESS LTD,,,B5 6DD,,,,,,,,,,GB-GOR-D9,Department for Transport,,SCH-000000497,Bus Service Operator Grants (outside London) 2016/17,,England,,E92000001,CTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/738720/360_16_17_awards.xlsx,Cabinet Office,West Midlands,Birmingham District,E08000025,Nechells Ward,E05001197,2019-07-03T10:11:48+00:00,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,
360G-cabinetoffice-GA-060045,Bus Service Operator Grants (outside London) 2016/17,Placeholder,GBP,,116395,,2016-04-01T00:00:00+00:00,,01/04/2016,31/03/2017,12,,,,360G-cabinetoffice-GB818328322,CEN Group T/A Central Buses,,,B42 2TX,,,,,,,,,,GB-GOR-D9,Department for Transport,,SCH-000000497,Bus Service Operator Grants (outside London) 2016/17,,England,,E92000001,CTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/738720/360_16_17_awards.xlsx,Cabinet Office,West Midlands,Birmingham District,E08000025,Perry Barr Ward,E05001200,2019-07-03T10:11:48+00:00,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,
