Identifier,Title,Description,Currency,Amount Applied For,Amount Awarded,Amount Disbursed,Award Date,URL,Planned Dates:Start Date,Planned Dates:End Date,Planned Dates:Duration (months),Actual Dates:Start Date,Actual Dates:End Date,Actual Dates:Duration (months),Recipient Org:Identifier,Recipient Org:Name,Recipient Org:Charity Number,Recipient Org:Company Number,Recipient Org:Postal Code,Recipient Org:Location:0:Geographic Code Type,Recipient Org:Location:0:Geographic Code,Recipient Org:Location:0:Name,Recipient Org:Location:1:Geographic Code Type,Recipient Org:Location:1:Geographic Code,Recipient Org:Location:1:Name,Recipient Org:Location:2:Geographic Code Type,Recipient Org:Location:2:Geographic Code,Recipient Org:Location:2:Name,Funding Org:Identifier,Funding Org:Name,Funding Org:Postal Code,Grant Programme:Code,Grant Programme:Title,Grant Programme:URL,Beneficiary Location:0:Name,Beneficiary Location:0:Country Code,Beneficiary Location:0:Geographic Code,Beneficiary Location:0:Geographic Code Type,Beneficiary Location:1:Name,Beneficiary Location:1:Country Code,Beneficiary Location:1:Geographic Code,Beneficiary Location:1:Geographic Code Type,Beneficiary Location:2:Name,Beneficiary Location:2:Country Code,Beneficiary Location:2:Geographic Code,Beneficiary Location:2:Geographic Code Type,Beneficiary Location:3:Name,Beneficiary Location:3:Country Code,Beneficiary Location:3:Geographic Code,Beneficiary Location:3:Geographic Code Type,Beneficiary Location:4:Name,Beneficiary Location:4:Country Code,Beneficiary Location:4:Geographic Code,Beneficiary Location:4:Geographic Code Type,Beneficiary Location:5:Name,Beneficiary Location:5:Country Code,Beneficiary Location:5:Geographic Code,Beneficiary Location:5:Geographic Code Type,Beneficiary Location:6:Name,Beneficiary Location:6:Country Code,Beneficiary Location:6:Geographic Code,Beneficiary Location:6:Geographic Code Type,Beneficiary Location:7:Name,Beneficiary Location:7:Country Code,Beneficiary Location:7:Geographic Code,Beneficiary Location:7:Geographic Code Type,From An Open Call?,The following fields are not in the 360 Giving Standard and are added by GrantNav.,Data Source,Publisher:Name,Recipient Region,Recipient District,Recipient District Geographic Code,Recipient Ward,Recipient Ward Geographic Code,Retrieved for use in GrantNav,License (see note),"Note, this file also contains OS data © Crown copyright and database right 2016, Royal Mail data © Royal Mail copyright and Database right 2016, National Statistics data © Crown copyright and database right 2015 & 2016, see http://grantnav.threesixtygiving.org/datasets/ for more information."
360G-blf-0031040773,Celebrating Soldiers of African & West Indian Origin Who Served in WW1,"This project celebrates people of African and West Indian descentâ€™s involvement in WWI by recording their recollections and history through interviews, focus meetings and workshops. These stories will then be shared with the community in a variety of media formats at a theatre event, 100 years on from the warâ€™s end.",GBP,,9750,,2016-10-13T00:00:00+00:00,,2016-10-20T00:00:00+00:00,2017-10-20T00:00:00+00:00,12,,,,GB-CHC-1109505,"Central Africa Refugee Link, West Midlands",1109505,6218206,,,E05001262,Bristnall,,E08000028,Sandwell,,,,360G-blf,The Big Lottery Fund,,CEL1,Celebrate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tnlcommunityfund.org.uk/media/open-data/TNLCF_Grant_Data_2015-2017.xlsx,The National Lottery Community Fund,West Midlands,Sandwell District,E08000028,Bristnall Ward,E05001262,2019-07-03T12:23:06+00:00,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,
360G-blf-0031040581,West Bromwich Town Hall Community Hub,The project will use the funding to deliver positive social activities for people in the local area to include arts and crafts and health awareness workshops. This will lead to improved community cohesion and reduced isolation.  ,GBP,,9855,,2016-10-05T00:00:00+00:00,,2016-11-10T00:00:00+00:00,2017-11-10T00:00:00+00:00,12,,,,GB-CHC-1151321,The Peoples Orchestra,1151321,,,,E05001283,West Bromwich Central,,E08000028,Sandwell,,,,360G-blf,The Big Lottery Fund,,AFE1,Awards for All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tnlcommunityfund.org.uk/media/open-data/TNLCF_Grant_Data_2015-2017.xlsx,The National Lottery Community Fund,West Midlands,Sandwell District,E08000028,West Bromwich Central Ward,E05001283,2019-07-03T12:23:06+00:00,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,
360G-blf-0031040617,W2W Community Engagement Surgery,"The project, based in Sandwell, will use the funding to run weekly surgery sessions to offer people who are socially excluded or vulnerable support through confidence building coaching and also offer an advice service in social issues. This will develop life and consumer skills to improve personal independence and support the needs of beneficiaries.  ",GBP,,9870,,2016-10-05T00:00:00+00:00,,2016-11-03T00:00:00+00:00,2017-11-03T00:00:00+00:00,12,,,,GB-COH-10250855,Welfare 2 Wellbeing CIC,,10250855,,,E05001262,Bristnall,,E08000028,Sandwell,,,,360G-blf,The Big Lottery Fund,,AFE1,Awards for All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tnlcommunityfund.org.uk/media/open-data/TNLCF_Grant_Data_2015-2017.xlsx,The National Lottery Community Fund,West Midlands,Sandwell District,E08000028,Bristnall Ward,E05001262,2019-07-03T12:23:06+00:00,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,
360G-blf-0031040613,Development of outdoor area for extra curricular clubs,This project will use funding to install a canopy in its playground area to enable the school to run new extracurricular activities and clubs.,GBP,,10000,,2016-10-05T00:00:00+00:00,,2016-10-18T00:00:00+00:00,2017-10-18T00:00:00+00:00,12,,,,360G-blf-org-Brandhall Primary School-School : Community School-01011945-E08000028,Brandhall Primary School,,,,,E05001272,Old Warley,,E08000028,Sandwell,,,,360G-blf,The Big Lottery Fund,,AFE1,Awards for All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tnlcommunityfund.org.uk/media/open-data/TNLCF_Grant_Data_2015-2017.xlsx,The National Lottery Community Fund,West Midlands,Sandwell District,E08000028,Old Warley Ward,E05001272,2019-07-03T12:23:06+00:00,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,
360G-blf-0031040187,Tipton Communities Celebrates,"This project will use the funding to hold a series of celebration events for the community involving activities for adults and children, award ceremonies and showcasing the work of the organisation. This will enable the organisation to celebrate diversity in the community and bring people of different cultural backgrounds together in celebration.  ",GBP,,10000,,2016-09-29T00:00:00+00:00,,2016-10-06T00:00:00+00:00,2017-10-06T00:00:00+00:00,12,,,,GB-CHC-1151816,Bangladeshi Women's Association,1151816,8085962,,,E05001279,Tipton Green,,E08000028,Sandwell,,,,360G-blf,The Big Lottery Fund,,CEL1,Celebrate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tnlcommunityfund.org.uk/media/open-data/TNLCF_Grant_Data_2015-2017.xlsx,The National Lottery Community Fund,West Midlands,Sandwell District,E08000028,Tipton Green Ward,E05001279,2019-07-03T12:23:06+00:00,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,
360G-blf-0031039976,Ferndale's Safe Playground project,The school will resurface the playground to provide a safe environment for children to participate in outdoor activities.,GBP,,10000,,2016-09-21T00:00:00+00:00,,2016-10-11T00:00:00+00:00,2017-10-11T00:00:00+00:00,12,,,,360G-blf-org-Ferndale Primary School-School : Community School-01041990-E08000028,Ferndale Primary School,,,,,E05001271,Newton,,E08000028,Sandwell,,,,360G-blf,The Big Lottery Fund,,AFE1,Awards for All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tnlcommunityfund.org.uk/media/open-data/TNLCF_Grant_Data_2015-2017.xlsx,The National Lottery Community Fund,West Midlands,Sandwell District,E08000028,Newton Ward,E05001271,2019-07-03T12:23:06+00:00,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,
360G-blf-0031039952,The Ballot Street Bazaar - Making friends in our community,The group will use the funding to provide a series of community events to support and provide advice for parents and families of the school. This will reduce social isolation and discrimination in a culturally diverse community.  ,GBP,,8400,,2016-09-21T00:00:00+00:00,,2016-10-19T00:00:00+00:00,2017-10-19T00:00:00+00:00,12,,,,GB-COH-7887796,Victoria Academies Trust,,7887796,,,E05001278,Soho and Victoria,,E08000028,Sandwell,,,,360G-blf,The Big Lottery Fund,,AFE1,Awards for All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tnlcommunityfund.org.uk/media/open-data/TNLCF_Grant_Data_2015-2017.xlsx,The National Lottery Community Fund,West Midlands,Sandwell District,E08000028,Soho and Victoria Ward,E05001278,2019-07-03T12:23:06+00:00,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,
360G-blf-0031039510,The Parent Support Hub,The project will deliver parental training workshops to improve the life chances of local families.,GBP,,10000,,2016-09-07T00:00:00+00:00,,2016-09-27T00:00:00+00:00,2017-09-27T00:00:00+00:00,12,,,,GB-COH-9796623,ACTOV Change CIC,,9796623,,,E05001269,Hateley Heath,,E08000028,Sandwell,,,,360G-blf,The Big Lottery Fund,,AFE1,Awards for All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tnlcommunityfund.org.uk/media/open-data/TNLCF_Grant_Data_2015-2017.xlsx,The National Lottery Community Fund,West Midlands,Sandwell District,E08000028,Hateley Heath Ward,E05001269,2019-07-03T12:23:06+00:00,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,
360G-SE-2015003780LOTT,Dance Activ-8 Fitness Programme,Funding under Sport England's Small Grants funding programme for a Revenue project titled 'Dance Activ-8 Fitness Programme'. This project lists its main activity as Movement & Dance.,GBP,,9465,9465,2016-09-07T00:00:00+00:00,,2016-10-19T00:00:00+00:00,2017-06-19T00:00:00+00:00,8,,,,GB-COH-09381680,Dance Education Services (UK) CIC,,9381680,B69 4BH,,,,,,,,,,GB-COH-RC000766,Sport England,,SG,Small Grants,http://www.sportengland.org/funding,ST19 5RN,GB,,,Stafford,,E14000965,WPC,South Staffordshire,,E07000196,LAD,,,E01029656,LSOA,,,,,,,,,,,,,,,,,Yes,,https://www.sportengland.org/media/12725/360giving-sport-england-data.xlsx,Sport England,West Midlands,Sandwell District,E08000028,Oldbury Ward,E05001273,2019-07-03T10:16:05+00:00,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,
360G-blf-0031039227,Community Celebration,The organisation will use the funding to hold an awards ceremony to celebrate the difference that the BUDS volunteers make to the lives of local people living with dementia. This will recognise the work done by volunteers and bring the community together.,GBP,,4347,,2016-09-01T00:00:00+00:00,,2016-09-29T00:00:00+00:00,2017-09-29T00:00:00+00:00,12,,,,GB-CHC-1133484,Better Understanding of Dementia For Sandwell (BUDS),1133484,68114962,,,E05001267,Great Bridge,,E08000028,Sandwell,,,,360G-blf,The Big Lottery Fund,,CEL1,Celebrate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.tnlcommunityfund.org.uk/media/open-data/TNLCF_Grant_Data_2015-2017.xlsx,The National Lottery Community Fund,West Midlands,Sandwell District,E08000028,Great Bridge Ward,E05001267,2019-07-03T12:23:06+00:00,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,
