Recipient Name,Recipient ID,Grants,Total,Average,Largest,Smallest
Boldmere Neighbourhood Forum,360G-BirminghamCC-boldmere_neighbourhood_forum,2,2100,1050,1400,700
Boldmere Bullets,360G-BirminghamCC-boldmere_bullets,1,500,500,500,500
Blue Orange Arts Ltd,GB-COH-07809425,4,36571,9142,9935,8408
Blue Ink Trust,GB-COH-06899394,2,2460,1230,1640,820
Black Voices Uk Ltd,GB-COH-08753089,1,5000,5000,5000,5000
Black International Film Festival,360G-BirminghamCC-black_international_film_festival,1,500,500,500,500
Bishop Latimer Pcc,360G-BirminghamCC-bishop_latimer_pcc,1,1500,1500,1500,1500
Birmingham YMCA,GB-COH-00170981,1,37525,37525,37525,37525
Birmingham Voluntary Service Council (BVSC),GB-COH-00421688,2,57387,28693,37387,20000
Birmingham Vernon (Unit 40) Sea Cadet Corps,360G-BirminghamCC-bham_vernon_sea_cadets,2,27999,13999,24999,3000
Birmingham Tuc Centre For The Unemployed,GB-COH-01856890,8,24600,3075,5000,2000
Birmingham Tigers,360G-BirminghamCC-birmingham_tigers,1,1500,1500,1500,1500
Birmingham Sports & Cultural Day,360G-BirminghamCC-birmingham_sports_cultural_day,4,2000,500,500,500
Birmingham Scout Group 24th,360G-BirminghamCC-birmingham_scout_group_24th,1,2000,2000,2000,2000
Birmingham Samaritans,GB-CHC-1166821,5,61000,12200,24400,6100
Birmingham Royal Ballet,GB-COH-03320538,4,1993000,498250,1460000,4000
Birmingham Repertory Theatre (Ltd),GB-COH-00295910,6,2060500,343416,1277500,4000
Birmingham Rape and Sexual Violence Project,GB-CHC-508669,3,42500,14166,21250,10625
Birmingham Playcare Network Ltd,GB-COH-04566497,1,40000,40000,40000,40000
Birmingham Phobic Fellowship,GB-CHC-513468,4,8740,2185,3496,1746
Birmingham Opera Company,GB-COH-01850467,5,386400,77280,280000,400
Birmingham Museums Trust,GB-COH-07737797,4,690600,172650,660000,600
Birmingham Multi Care,GB-COH-02399075,5,166179,33235,65779,16444
Birmingham Mental Health Leisure Forum,GB-CHC-702649,3,53942,17980,26620,13310
Birmingham LGBT,GB-COH-07203554,5,60395,12079,31707,3000
Birmingham International Jazz Festival,GB-COH-02291275,3,41000,13666,20000,9000
Birmingham Disability Resource Centre,GB-COH-02897250,11,430209,39109,92168,14970
Birmingham Contemporary Music Group,GB-COH-02446126,1,9700,9700,9700,9700
Birmingham Citizens Advice Bureau Service Ltd (Birmingham CAB),GB-COH-02202427,7,480931,68704,106391,19176
Birmingham Association for Mental Health,GB-CHC-1003906,3,578418,192806,281514,140507
Birmingham Asian Resource Centre,GB-COH-04351686,3,83615,27871,47072,11768
Birmingham And Solihull Womens Aid,GB-COH-03509538,9,835917,92879,248193,27341
Birinus,GB-COH-05266872 ,7,138231,19747,50000,1463
Birchfield Neighbourhood Forum,360G-BirminghamCC-bham_neighbourhood_forum,2,610,305,600,10
Big Brum Tie Company Ltd,GB-COH-01731105,2,19116,9558,9795,9321
Bethany Pentecostal Church,GB-CHC-1052756,2,4450,2225,2950,1500
Best Network Ltd,GB-COH-06834708,1,15000,15000,15000,15000
Best For Business Ea Cic,360G-BirminghamCC-best_for_business_ea_cic,1,3000,3000,3000,3000
Beech Lane Neighbourhood Forum,360G-BirminghamCC-beech_lane_neighbourhood_forum,3,1780,593,780,500
Becauseofoursarah,360G-BirminghamCC-becauseofoursarah,1,1959,1959,1959,1959
Beaumont Gardens Neighbour Watch,360G-BirminghamCC-beaumont_gardens_neighbour_watch,1,1000,1000,1000,1000
Beatfreeks Arts Ltd,GB-COH-08564521,2,28065,14032,20000,8065
Be Festival CIC,GB-COH-07264409,6,53552,8925,11000,5611
Bartley Green District History Grp,360G-BirminghamCC-bartley_green_district_history_grp,1,500,500,500,500
Banners Gate Counselling Centre,GB-COH-05074677,1,2472,2472,2472,2472
Banners Gate (Vesey) Forum,360G-BirminghamCC-banners_gate_vesey_forum,3,1500,500,500,500
Balsall Heath Forum,GB-COH-03380690,3,11500,3833,7000,1000
BID Services,GB-COH-03124204,2,38250,19125,25500,12750
Autism West Midlands,GB-COH-01953344,6,68164,11360,19785,4946
Attock Cricket Club,360G-BirminghamCC-attock_cricket_club,1,3000,3000,3000,3000
Athac CIC,GB-COH-08678947,1,7350,7350,7350,7350
Aston Vision Association,360G-BirminghamCC-aston_vision_association,1,500,500,500,500
Aston Athletics Basketball club ,GB-COH-06361011,1,46153,46153,46153,46153
Aspire and Succeed,GB-COH-06722321,1,300,300,300,300
Aspire Supported Living CIC,GB-COH-08968848,1,48408,48408,48408,48408
Asian Elderly Community Welfare Ass,GB-COH-04938742,1,500,500,500,500
Ashiana Community Project,GB-COH-03251512,2,56735,28367,46735,10000
Ashanti Netball Club,360G-BirminghamCC-ashanti_netball_club,3,4000,1333,2000,1000
Aryp CIC,GB-COH-08190061,1,2000,2000,2000,2000
Art Works,360G-BirminghamCC-art_works,2,5000,2500,3000,2000
Aquarius,GB-COH-02427100,1,65490,65490,65490,65490
Apples And Snakes Ltd,GB-COH-01994850,1,10000,10000,10000,10000
Apna Ghar 1995 Ltd,GB-COH-03279108,5,166974,33394,60357,15548
Annie Wood Golden Elders,360G-BirminghamCC-annie_wood_golden_elders,2,1000,500,500,500
Angling Unlimited (trading name for: A U West Midlands),GB-COH-05664655,5,6050,1210,4000,150
Alum Rock Football Club,360G-BirminghamCC-alum_rock_football_club,2,1423,711,1000,423
Alum Rock Elders Suport,GB-COH-08205070,6,112817,18802,43865,2000
Allens Cross Residents Association,360G-BirminghamCC-allens_cross_residents_association,1,170,170,170,170
Allen's Cross Community Association,GB-CHC-522842,7,51281,7325,16913,250
All Stars Playgroup,360G-BirminghamCC-all_stars_playgroup,2,800,400,500,300
Albert Bradbeer Primary Academy,360G-BirminghamCC-albert_bradbeer_primary_academy,2,174219,87109,162869,11350
Al Ansar Cricket Club,360G-BirminghamCC-al_ansar_cricket_club,1,1500,1500,1500,1500
Age UK Birmingham Ltd,GB-COH-07334392,8,485400,60675,155700,500
Age Concern Birmingham,GB-COH-02104152,12,1231802,102650,256839,816
Age Concern (Perry Barr) Ltd,GB-COH-02904270,3,8800,2933,3000,2900
Advocacy Matters Ltd,GB-COH-07987156,3,397264,132421,190263,59449
Active Arts Castle Vale,GB-CHC-1130759,1,5800,5800,5800,5800
Action 4 Bullying,GB-CHC-1166720 ,1,300,300,300,300
Acocks Green N'Hood Forum,360G-BirminghamCC-acocks_green_nhood_forum,3,2400,800,800,800
Acocks Green Carnival,360G-BirminghamCC-acocks_green_carnival,1,4000,4000,4000,4000
Acocks Green Carers Group,360G-BirminghamCC-acocks_green_carers_group,2,1812,906,1208,604
Ace Resource Centre,GB-CHC-1007395,4,90094,22523,43658,480
Ace Dance And Music,360G-BirminghamCC-ace_dance_and_music,3,89479,29826,71197,8650
Access Committee for Birmingham,GB-CHC-1013633,3,169363,56454,90331,649
Acacia Family Support,GB-CHC-1122831,2,4000,2000,2500,1500
ALZHEIMER'S SOCIETY BEXLEY BRANCH,GB-COH-02115499,7,302570,43224,128253,2000
A3 Project Space,360G-BirminghamCC-a3_project_space,1,2591,2591,2591,2591
A K Unity CC,360G-BirminghamCC-a_k_unity_cc,1,736,736,736,736
7E Youth Academy Ltd,GB-COH-06127306,1,33550,33550,33550,33550
64th Birmingham Scout Group,360G-BirminghamCC-64th_birmingham_scout_group,1,4000,4000,4000,4000
218th Bham Woodgate Pioneers Scout,360G-BirminghamCC-218th_bham_woodgate_pioneers_scout,1,1000,1000,1000,1000
'On The Edge' Fusion Youth Orchestra,GB-COH-07887876,3,15860,5286,13860,1000
